Service Tag,System Type,Ship Date,Dell IBU,Description,Provider,Warrenty Extension Notice *,Start Date,End Date,Days Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cblnn1s,optiplex 210l,2/10/2007,asia / pacific,dp4,dell,no,2/10/2007,2/10/2010,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f7fnn1s,latitude d620,2/10/2007,asia / pacific,dp4,dell,no,2/10/2007,2/10/2010,0,dpow(nbd),dell,no,2/10/2007,2/10/2010,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CKENN1S,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
746nn1s,dimension e520,2/10/2007,asia / pacific,plus technical phone support,dell,no,2/10/2007,2/10/2010,0,nbd (next business day on-site),dell,no,2/10/2008,2/10/2010,0,pow (parts only warranty),dell,no,2/10/2008,2/10/2010,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7j3nn1s,xps m1210,2/10/2007,asia / pacific,xps 24x7 phone technical support,dell,no,2/10/2007,2/10/2010,0,completecover coverage programme,dell,no,2/10/2007,2/10/2010,0,completecover guard,dell,no,2/10/2007,2/10/2010,0,pow (parts only warranty),dell,no,2/10/2008,2/10/2010,0,nbd (next business day on-site),dell,no,2/10/2008,2/10/2010,0,year value night/weekend onsite service,dell,no,2/10/2007,2/10/2010,0,,,,,,,,,,,,
5b4nn1s,latitude d620,2/10/2007,asia / pacific,completecover coverage programme,dell,no,2/10/2007,3/10/2010,0,nbd (next business day on-site),dell,no,3/10/2009,3/10/2010,0,pow (parts only warranty),dell,no,2/10/2010,3/10/2010,0,for gold phone technical support,dell,no,2/10/2007,3/10/2010,0,,,,,,,,,,,,,,,,,,,,,,,,
O69NN1S,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bcdnn1s,optiplex 745,2/10/2007,asia / pacific,pow (parts only warranty),dell,no,2/10/2009,2/10/2010,0,nbd (next business day on-site),dell,no,2/10/2009,2/10/2010,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hm1nn1s,poweredge 1950,2/9/2007,asia / pacific,pow (parts only warranty),dell,no,2/9/2009,2/9/2010,0,core software & collaborative support,dell,no,2/9/2007,2/9/2010,0,nbd (next business day on-site),dell,no,2/9/2008,2/9/2010,0,4hr(24x7) (4 hrs response on-site 24x7),dell,no,2/9/2007,2/9/2010,0,gold support,dell,no,2/9/2007,2/9/2010,0,,,,,,,,,,,,,,,,,,
92ANN1S,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jp7nn1s,latitude d420,2/10/2007,asia / pacific,nbd (next business day on-site),dell,no,2/10/2008,2/10/2010,0,completecover coverage programme,dell,no,2/10/2007,2/10/2010,0,pow (parts only warranty),dell,no,2/10/2009,2/10/2010,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L94NN1S,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E5CNN1S,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MB1NN1S,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G2ENN1S,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4dbnn1s,latitude d620,2/10/2007,asia / pacific,pow (parts only warranty),dell,no,2/10/2008,2/10/2010,0,nbd (next business day on-site),dell,no,2/10/2008,2/10/2010,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0HONN1S,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F5NNN1S,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MMINN1S,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KO5NN1S,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jbjnn1s,optiplex 745,2/10/2007,asia / pacific,pow (parts only warranty),dell,no,2/10/2009,2/10/2010,0,nbd (next business day on-site),dell,no,2/10/2008,2/10/2010,0,nbdx8x6 - saturday services,dell,no,2/10/2007,2/10/2010,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LPKNN1S,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LLKNN1S,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4AJNN1S,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2p9nn1s,optiplex 745,2/10/2007,asia / pacific,pow (parts only warranty),dell,no,2/10/2009,2/10/2010,0,for gold phone technical support,dell,no,2/10/2007,2/10/2010,0,nbd (next business day on-site),dell,no,2/10/2008,2/10/2010,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6I1NN1S,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6jfnn1s,optiplex 320,2/10/2007,asia / pacific,dp4,dell,no,2/10/2007,2/10/2010,0,dpow(nbd),dell,no,2/10/2007,2/10/2010,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MKGNN1S,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82hnn1s,optiplex 745,2/10/2007,asia / pacific,nbd (next business day on-site),dell,no,2/10/2008,2/10/2010,0,pow (parts only warranty),dell,no,2/10/2008,2/10/2010,0,for gold phone technical support,dell,no,2/10/2007,2/10/2010,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
